locus_tag	ftype	length_bp	gene	EC_number	COG	product
KHAGGBBM_02472	gene	291				
KHAGGBBM_02472	CDS	291				hypothetical protein
KHAGGBBM_02473	gene	1188	yhhS_1			
KHAGGBBM_02473	CDS	1188	yhhS_1			putative MFS-type transporter YhhS
KHAGGBBM_02474	gene	423	yycE			
KHAGGBBM_02474	CDS	423	yycE			putative protein YycE
KHAGGBBM_02475	gene	1170				
KHAGGBBM_02475	CDS	1170				hypothetical protein
KHAGGBBM_02476	gene	846	gltR_2			
KHAGGBBM_02476	CDS	846	gltR_2		COG0583	HTH-type transcriptional regulator GltR
KHAGGBBM_02477	gene	1059	pnoA			
KHAGGBBM_02477	CDS	1059	pnoA	1.13.12.-		Nitronate monooxygenase
KHAGGBBM_02478	gene	672	metI_3			
KHAGGBBM_02478	CDS	672	metI_3		COG2011	D-methionine transport system permease protein MetI
KHAGGBBM_02479	gene	792	metN2			
KHAGGBBM_02479	CDS	792	metN2	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN 2
KHAGGBBM_02480	gene	807	metQ_3			
KHAGGBBM_02480	CDS	807	metQ_3		COG1464	D-methionine-binding lipoprotein MetQ
KHAGGBBM_02481	gene	1029	vldW_1			
KHAGGBBM_02481	CDS	1029	vldW_1	1.14.11.52		Validamycin A dioxygenase
KHAGGBBM_02482	gene	264				
KHAGGBBM_02482	CDS	264				hypothetical protein
KHAGGBBM_02483	gene	312				
KHAGGBBM_02483	CDS	312				hypothetical protein
KHAGGBBM_02484	gene	756				
KHAGGBBM_02484	CDS	756				hypothetical protein
KHAGGBBM_02485	gene	945	rclR			
KHAGGBBM_02485	CDS	945	rclR		COG2207	RCS-specific HTH-type transcriptional activator RclR
KHAGGBBM_02486	gene	1239	nepI_3			
KHAGGBBM_02486	CDS	1239	nepI_3		COG2814	Purine ribonucleoside efflux pump NepI
KHAGGBBM_02487	gene	975	pobB			
KHAGGBBM_02487	CDS	975	pobB	1.-.-.-		Phenoxybenzoate dioxygenase subunit beta
KHAGGBBM_02488	gene	1038	ndmA			
KHAGGBBM_02488	CDS	1038	ndmA	1.14.13.178		Methylxanthine N1-demethylase NdmA
KHAGGBBM_02489	gene	924	argP_1			
KHAGGBBM_02489	CDS	924	argP_1			HTH-type transcriptional regulator ArgP
KHAGGBBM_02490	gene	1155	hpxO			
KHAGGBBM_02490	CDS	1155	hpxO	1.14.13.113	COG0654	FAD-dependent urate hydroxylase
KHAGGBBM_02491	gene	1380	xanP_2			
KHAGGBBM_02491	CDS	1380	xanP_2		COG2233	Xanthine permease XanP
KHAGGBBM_02492	gene	501	uao			
KHAGGBBM_02492	CDS	501	uao			Uric acid degradation bifunctional protein
KHAGGBBM_02493	gene	327	pucM			
KHAGGBBM_02493	CDS	327	pucM	3.5.2.17	COG2351	5-hydroxyisourate hydrolase
KHAGGBBM_02494	gene	288	hipB			
KHAGGBBM_02494	CDS	288	hipB		COG1396	Antitoxin HipB
KHAGGBBM_02495	gene	1323	hipA			
KHAGGBBM_02495	CDS	1323	hipA	2.7.11.1	COG3550	Serine/threonine-protein kinase toxin HipA
KHAGGBBM_02496	gene	1293				
KHAGGBBM_02496	CDS	1293				hypothetical protein
KHAGGBBM_02497	gene	1005	mrkD_1			
KHAGGBBM_02497	CDS	1005	mrkD_1			Fimbria adhesin protein
KHAGGBBM_02498	gene	2502	fimD_2			
KHAGGBBM_02498	CDS	2502	fimD_2		COG3188	Outer membrane usher protein FimD
KHAGGBBM_02499	gene	696	yraI_1			
KHAGGBBM_02499	CDS	696	yraI_1			putative fimbrial chaperone YraI
KHAGGBBM_02500	gene	564	fimA_1			
KHAGGBBM_02500	CDS	564	fimA_1			Type-1 fimbrial protein, A chain
KHAGGBBM_02501	gene	288				
KHAGGBBM_02501	CDS	288				hypothetical protein
KHAGGBBM_02502	gene	783	map_2			
KHAGGBBM_02502	CDS	783	map_2	3.4.11.18	COG0024	Methionine aminopeptidase
KHAGGBBM_02503	gene	219				
KHAGGBBM_02503	CDS	219				hypothetical protein
KHAGGBBM_02504	gene	249				
KHAGGBBM_02504	CDS	249				hypothetical protein
KHAGGBBM_02505	gene	1656				
KHAGGBBM_02505	CDS	1656			COG2199	putative signaling protein
KHAGGBBM_02506	gene	930				
KHAGGBBM_02506	CDS	930				hypothetical protein
KHAGGBBM_02507	gene	141				
KHAGGBBM_02507	CDS	141				hypothetical protein
KHAGGBBM_02508	gene	240				
KHAGGBBM_02508	CDS	240				hypothetical protein
KHAGGBBM_02509	gene	981				
KHAGGBBM_02509	CDS	981			COG3039	IS5 family transposase ISKpn26
KHAGGBBM_02510	gene	402	fruB_1			
KHAGGBBM_02510	CDS	402	fruB_1		COG1925	Multiphosphoryl transfer protein
KHAGGBBM_02511	gene	1446	iolT			
KHAGGBBM_02511	CDS	1446	iolT			Major myo-inositol transporter IolT
KHAGGBBM_02512	gene	1329	malH			
KHAGGBBM_02512	CDS	1329	malH	3.2.1.122	COG1486	Maltose-6'-phosphate glucosidase
KHAGGBBM_02513	gene	1533	malP_4			
KHAGGBBM_02513	CDS	1533	malP_4		COG1263	PTS system maltose-specific EIICB component
KHAGGBBM_02514	gene	699	mngR_2			
KHAGGBBM_02514	CDS	699	mngR_2		COG2188	Mannosyl-D-glycerate transport/metabolism system repressor MngR
KHAGGBBM_02515	gene	744				
KHAGGBBM_02515	CDS	744				hypothetical protein
KHAGGBBM_02516	gene	885	cynR_1			
KHAGGBBM_02516	CDS	885	cynR_1			HTH-type transcriptional regulator CynR
KHAGGBBM_02517	gene	876	mmsB			
KHAGGBBM_02517	CDS	876	mmsB	1.1.1.31	COG2084	putative 3-hydroxyisobutyrate dehydrogenase
KHAGGBBM_02518	gene	1158	cdaR_2			
KHAGGBBM_02518	CDS	1158	cdaR_2		COG3835	Carbohydrate diacid regulator
KHAGGBBM_02519	gene	1176	garK_1			
KHAGGBBM_02519	CDS	1176	garK_1	2.7.1.165	COG1929	Glycerate 2-kinase
KHAGGBBM_02520	gene	1371	exuT_2			
KHAGGBBM_02520	CDS	1371	exuT_2			Hexuronate transporter
KHAGGBBM_02521	gene	879				
KHAGGBBM_02521	CDS	879		3.1.1.99		6-deoxy-6-sulfogluconolactonase
KHAGGBBM_02522	gene	1338	ttuB_3			
KHAGGBBM_02522	CDS	1338	ttuB_3			Putative tartrate transporter
KHAGGBBM_02523	gene	1191	thlA_1			
KHAGGBBM_02523	CDS	1191	thlA_1	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
KHAGGBBM_02524	gene	735	fabG_7			
KHAGGBBM_02524	CDS	735	fabG_7	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
KHAGGBBM_02525	gene	1593	carA_2			
KHAGGBBM_02525	CDS	1593	carA_2	2.8.3.23	COG4670	Caffeate CoA-transferase
KHAGGBBM_02526	gene	1557	lcfB			
KHAGGBBM_02526	CDS	1557	lcfB	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
KHAGGBBM_02527	gene	963	gcvA_3			
KHAGGBBM_02527	CDS	963	gcvA_3			Glycine cleavage system transcriptional activator
KHAGGBBM_02528	gene	282				
KHAGGBBM_02528	CDS	282				hypothetical protein
KHAGGBBM_02529	gene	339				
KHAGGBBM_02529	CDS	339				hypothetical protein
KHAGGBBM_02530	gene	582				
KHAGGBBM_02530	CDS	582				hypothetical protein
KHAGGBBM_02531	gene	1074				
KHAGGBBM_02531	CDS	1074				hypothetical protein
KHAGGBBM_02532	gene	1026	adh_1			
KHAGGBBM_02532	CDS	1026	adh_1	1.1.1.1		Alcohol dehydrogenase
KHAGGBBM_02533	gene	324	trxA_2			
KHAGGBBM_02533	CDS	324	trxA_2			Thioredoxin 1
KHAGGBBM_02534	gene	522				
KHAGGBBM_02534	CDS	522				hypothetical protein
KHAGGBBM_02535	gene	1419				
KHAGGBBM_02535	CDS	1419				hypothetical protein
KHAGGBBM_02536	gene	1005	appB			
KHAGGBBM_02536	CDS	1005	appB	7.1.1.3	COG1294	Cytochrome bd-II ubiquinol oxidase subunit 2
KHAGGBBM_02537	gene	144				
KHAGGBBM_02537	CDS	144				hypothetical protein
KHAGGBBM_02538	gene	939	dmlR_8			
KHAGGBBM_02538	CDS	939	dmlR_8			HTH-type transcriptional regulator DmlR
KHAGGBBM_02539	gene	1281	yhjV			
KHAGGBBM_02539	CDS	1281	yhjV		COG0814	Inner membrane transport protein YhjV
KHAGGBBM_02540	gene	1185	lysN_1			
KHAGGBBM_02540	CDS	1185	lysN_1	2.6.1.39	COG1167	2-aminoadipate transaminase
KHAGGBBM_02541	gene	1206	metC_1			
KHAGGBBM_02541	CDS	1206	metC_1	4.4.1.13	COG0626	Cystathionine beta-lyase MetC
KHAGGBBM_02542	gene	912	metR_2			
KHAGGBBM_02542	CDS	912	metR_2			HTH-type transcriptional regulator MetR
KHAGGBBM_02543	gene	525				
KHAGGBBM_02543	CDS	525				hypothetical protein
KHAGGBBM_02544	gene	630	lgoT_2			
KHAGGBBM_02544	CDS	630	lgoT_2			putative L-galactonate transporter
KHAGGBBM_02545	gene	642	scmP_1			
KHAGGBBM_02545	CDS	642	scmP_1	3.5.1.-	COG1473	N-acetylcysteine deacetylase
KHAGGBBM_02546	gene	876				
KHAGGBBM_02546	CDS	876				hypothetical protein
KHAGGBBM_02547	gene	1038	yajO_3			
KHAGGBBM_02547	CDS	1038	yajO_3	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
KHAGGBBM_02548	gene	984				
KHAGGBBM_02548	CDS	984		3.1.1.-		Lactonase drp35
KHAGGBBM_02549	gene	1182				
KHAGGBBM_02549	CDS	1182				hypothetical protein
KHAGGBBM_02550	gene	987	yajO_4			
KHAGGBBM_02550	CDS	987	yajO_4	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
KHAGGBBM_02551	gene	909	pgrR_6			
KHAGGBBM_02551	CDS	909	pgrR_6			HTH-type transcriptional regulator PgrR
KHAGGBBM_02552	gene	519				
KHAGGBBM_02552	CDS	519				hypothetical protein
KHAGGBBM_02553	gene	1251	dctD			
KHAGGBBM_02553	CDS	1251	dctD			C4-dicarboxylate transport transcriptional regulatory protein DctD
KHAGGBBM_02554	gene	1995	pgtB			
KHAGGBBM_02554	CDS	1995	pgtB	2.7.13.3	COG4192	Phosphoglycerate transport system sensor protein PgtB
KHAGGBBM_02555	gene	1221	pgtC			
KHAGGBBM_02555	CDS	1221	pgtC		COG1840	Phosphoglycerate transport regulatory protein PgtC
KHAGGBBM_02556	gene	1392	pgtP			
KHAGGBBM_02556	CDS	1392	pgtP		COG2271	Phosphoglycerate transporter protein
KHAGGBBM_02557	gene	450	kbp			
KHAGGBBM_02557	CDS	450	kbp		COG1652	Potassium binding protein Kbp
KHAGGBBM_02558	gene	873				
KHAGGBBM_02558	CDS	873				hypothetical protein
KHAGGBBM_02559	gene	645	tenA_1			
KHAGGBBM_02559	CDS	645	tenA_1	3.5.99.2	COG0819	Aminopyrimidine aminohydrolase
KHAGGBBM_02560	gene	846				
KHAGGBBM_02560	CDS	846				hypothetical protein
KHAGGBBM_02561	gene	873	rbsK_3			
KHAGGBBM_02561	CDS	873	rbsK_3	2.7.1.15		Ribokinase
KHAGGBBM_02562	gene	954	rbsB_4			
KHAGGBBM_02562	CDS	954	rbsB_4		COG1879	Ribose import binding protein RbsB
KHAGGBBM_02563	gene	1023	rbsR_4			
KHAGGBBM_02563	CDS	1023	rbsR_4		COG1609	Ribose operon repressor
KHAGGBBM_02564	gene	783	frcA_1			
KHAGGBBM_02564	CDS	783	frcA_1	7.5.2.-	COG1129	Fructose import ATP-binding protein FrcA
KHAGGBBM_02565	gene	1002	rbsC_9			
KHAGGBBM_02565	CDS	1002	rbsC_9		COG1172	Ribose import permease protein RbsC
KHAGGBBM_02566	gene	1080	opd			
KHAGGBBM_02566	CDS	1080	opd	3.1.8.1		Parathion hydrolase
KHAGGBBM_02567	gene	756				
KHAGGBBM_02567	CDS	756				hypothetical protein
KHAGGBBM_02568	gene	1143	dapE_1			
KHAGGBBM_02568	CDS	1143	dapE_1	3.5.1.18		putative succinyl-diaminopimelate desuccinylase
KHAGGBBM_02569	gene	429				
KHAGGBBM_02569	CDS	429				hypothetical protein
KHAGGBBM_02570	gene	792	attM			
KHAGGBBM_02570	CDS	792	attM	3.1.1.81		N-acyl homoserine lactonase AttM
KHAGGBBM_02571	gene	888	dmlR_9			
KHAGGBBM_02571	CDS	888	dmlR_9			HTH-type transcriptional regulator DmlR
KHAGGBBM_02572	gene	903	dmlR_10			
KHAGGBBM_02572	CDS	903	dmlR_10			HTH-type transcriptional regulator DmlR
KHAGGBBM_02573	gene	1209				
KHAGGBBM_02573	CDS	1209				hypothetical protein
KHAGGBBM_02574	gene	471	rhtB_2			
KHAGGBBM_02574	CDS	471	rhtB_2		COG1280	Homoserine/homoserine lactone efflux protein
KHAGGBBM_02575	gene	1107	fruA_2			
KHAGGBBM_02575	CDS	1107	fruA_2		COG1299	PTS system fructose-specific EIIB'BC component
KHAGGBBM_02576	gene	312	manP_2			
KHAGGBBM_02576	CDS	312	manP_2		COG1299	PTS system mannose-specific EIIBCA component
KHAGGBBM_02577	gene	456	mngA			
KHAGGBBM_02577	CDS	456	mngA		COG1299	PTS system 2-O-alpha-mannosyl-D-glycerate-specific EIIABC component
KHAGGBBM_02578	gene	681	alsE			
KHAGGBBM_02578	CDS	681	alsE	5.1.3.-	COG0036	D-allulose-6-phosphate 3-epimerase
KHAGGBBM_02579	gene	1263	ulaA_3			
KHAGGBBM_02579	CDS	1263	ulaA_3		COG3037	Ascorbate-specific PTS system EIIC component
KHAGGBBM_02580	gene	267	ulaB_2			
KHAGGBBM_02580	CDS	267	ulaB_2	2.7.1.194		Ascorbate-specific PTS system EIIB component
KHAGGBBM_02581	gene	438	ulaC_2			
KHAGGBBM_02581	CDS	438	ulaC_2		COG1762	Ascorbate-specific PTS system EIIA component
KHAGGBBM_02582	gene	1059	gntR_1			
KHAGGBBM_02582	CDS	1059	gntR_1			HTH-type transcriptional regulator GntR
KHAGGBBM_02583	gene	1299	oxlT			
KHAGGBBM_02583	CDS	1299	oxlT			Oxalate:formate antiporter
KHAGGBBM_02584	gene	537				
KHAGGBBM_02584	CDS	537				hypothetical protein
KHAGGBBM_02585	gene	579				
KHAGGBBM_02585	CDS	579				hypothetical protein
KHAGGBBM_02586	gene	1101				
KHAGGBBM_02586	CDS	1101				hypothetical protein
KHAGGBBM_02587	gene	915				
KHAGGBBM_02587	CDS	915				hypothetical protein
KHAGGBBM_02588	gene	1233	yjhB			
KHAGGBBM_02588	CDS	1233	yjhB			Putative metabolite transport protein YjhB
KHAGGBBM_02589	gene	1608				
KHAGGBBM_02589	CDS	1608				hypothetical protein
KHAGGBBM_02590	gene	1101	namA_2			
KHAGGBBM_02590	CDS	1101	namA_2	1.6.99.1	COG1902	NADPH dehydrogenase
KHAGGBBM_02591	gene	534				
KHAGGBBM_02591	CDS	534				hypothetical protein
KHAGGBBM_02592	gene	897	dmlR_11			
KHAGGBBM_02592	CDS	897	dmlR_11			HTH-type transcriptional regulator DmlR
KHAGGBBM_02593	gene	978				
KHAGGBBM_02593	CDS	978		1.6.5.11	COG2070	NADH:quinone reductase
KHAGGBBM_02594	gene	1260	amaB_2			
KHAGGBBM_02594	CDS	1260	amaB_2	3.5.1.87		N-carbamoyl-L-amino acid hydrolase
KHAGGBBM_02595	gene	1242	pucG			
KHAGGBBM_02595	CDS	1242	pucG	2.6.1.112	COG0075	(S)-ureidoglycine--glyoxylate transaminase
KHAGGBBM_02596	gene	738	glnQ_4			
KHAGGBBM_02596	CDS	738	glnQ_4			Glutamine transport ATP-binding protein GlnQ
KHAGGBBM_02597	gene	657	yecS_2			
KHAGGBBM_02597	CDS	657	yecS_2		COG0765	L-cystine transport system permease protein YecS
KHAGGBBM_02598	gene	666				
KHAGGBBM_02598	CDS	666				hypothetical protein
KHAGGBBM_02599	gene	786	fliY_2			
KHAGGBBM_02599	CDS	786	fliY_2		COG0834	L-cystine-binding protein FliY
KHAGGBBM_02600	gene	840				
KHAGGBBM_02600	CDS	840				hypothetical protein
KHAGGBBM_02601	gene	1587	hpxW			
KHAGGBBM_02601	CDS	1587	hpxW	3.5.1.126	COG0405	Oxamate amidohydrolase proenzyme
KHAGGBBM_02602	gene	186				
KHAGGBBM_02602	CDS	186				hypothetical protein
KHAGGBBM_02603	gene	1398	atzE			
KHAGGBBM_02603	CDS	1398	atzE	3.5.1.131		1-carboxybiuret hydrolase subunit AtzE
KHAGGBBM_02604	gene	387				
KHAGGBBM_02604	CDS	387				hypothetical protein
KHAGGBBM_02605	gene	423	phnO			
KHAGGBBM_02605	CDS	423	phnO	2.3.1.280		Aminoalkylphosphonate N-acetyltransferase
KHAGGBBM_02606	gene	1119	asd_1			
KHAGGBBM_02606	CDS	1119	asd_1	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
KHAGGBBM_02607	gene	558				
KHAGGBBM_02607	CDS	558				hypothetical protein
KHAGGBBM_02608	gene	1044	emrA_2			
KHAGGBBM_02608	CDS	1044	emrA_2			Colistin resistance protein EmrA
KHAGGBBM_02609	gene	1563	emrB_1			
KHAGGBBM_02609	CDS	1563	emrB_1			Colistin resistance protein EmrB
KHAGGBBM_02610	gene	1275	fabF_2			
KHAGGBBM_02610	CDS	1275	fabF_2	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
KHAGGBBM_02611	gene	411				
KHAGGBBM_02611	CDS	411				hypothetical protein
KHAGGBBM_02612	gene	900				
KHAGGBBM_02612	CDS	900				hypothetical protein
KHAGGBBM_02613	gene	774	nimR_3			
KHAGGBBM_02613	CDS	774	nimR_3			HTH-type transcriptional regulator NimR
KHAGGBBM_02614	gene	726				
KHAGGBBM_02614	CDS	726				hypothetical protein
KHAGGBBM_02615	gene	696	menH_1			
KHAGGBBM_02615	CDS	696	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
KHAGGBBM_02616	gene	225				
KHAGGBBM_02616	CDS	225				hypothetical protein
KHAGGBBM_02617	gene	768	nimR_4			
KHAGGBBM_02617	CDS	768	nimR_4			HTH-type transcriptional regulator NimR
KHAGGBBM_02618	gene	792				
KHAGGBBM_02618	CDS	792				hypothetical protein
KHAGGBBM_02619	gene	933				
KHAGGBBM_02619	CDS	933				hypothetical protein
KHAGGBBM_02620	gene	744	hyuA			
KHAGGBBM_02620	CDS	744	hyuA	5.1.99.5	COG4126	Hydantoin racemase
KHAGGBBM_02621	gene	717				
KHAGGBBM_02621	CDS	717				hypothetical protein
KHAGGBBM_02622	gene	1497	pucI			
KHAGGBBM_02622	CDS	1497	pucI		COG1953	putative allantoin permease
KHAGGBBM_02623	gene	1311	guaD_1			
KHAGGBBM_02623	CDS	1311	guaD_1	3.5.4.3	COG0402	Guanine deaminase
KHAGGBBM_02624	gene	1140	dgcM			
KHAGGBBM_02624	CDS	1140	dgcM	2.7.7.65	COG2199	Diguanylate cyclase DgcM
KHAGGBBM_02625	gene	1041				
KHAGGBBM_02625	CDS	1041				hypothetical protein
KHAGGBBM_02626	gene	924	iolE_4			
KHAGGBBM_02626	CDS	924	iolE_4	4.2.1.44	COG1082	Inosose dehydratase
KHAGGBBM_02627	gene	1173	ntdC			
KHAGGBBM_02627	CDS	1173	ntdC	1.1.1.361	COG0673	Glucose-6-phosphate 3-dehydrogenase
KHAGGBBM_02628	gene	1107				
KHAGGBBM_02628	CDS	1107				hypothetical protein
KHAGGBBM_02629	gene	696	tenA_2			
KHAGGBBM_02629	CDS	696	tenA_2	3.5.99.2	COG0819	Aminopyrimidine aminohydrolase
KHAGGBBM_02630	gene	729	ssuB_2			
KHAGGBBM_02630	CDS	729	ssuB_2	3.6.3.-	COG1116	Aliphatic sulfonates import ATP-binding protein SsuB
KHAGGBBM_02631	gene	741	ribX_1			
KHAGGBBM_02631	CDS	741	ribX_1			Riboflavin transport system permease protein RibX
KHAGGBBM_02632	gene	936				
KHAGGBBM_02632	CDS	936			COG0715	Putative thiamine biosynthesis protein
KHAGGBBM_02633	gene	1383	dat			
KHAGGBBM_02633	CDS	1383	dat	2.6.1.76	COG0160	Diaminobutyrate--2-oxoglutarate aminotransferase
KHAGGBBM_02634	gene	1473	ddc			
KHAGGBBM_02634	CDS	1473	ddc	4.1.1.86	COG0076	L-2,4-diaminobutyrate decarboxylase
KHAGGBBM_02635	gene	882	yofA_1			
KHAGGBBM_02635	CDS	882	yofA_1		COG0583	HTH-type transcriptional regulator YofA
KHAGGBBM_02636	gene	1191	dipZ			
KHAGGBBM_02636	CDS	1191	dipZ		COG0785	Protein DipZ
KHAGGBBM_02637	gene	1344	rcsC_3			
KHAGGBBM_02637	CDS	1344	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
KHAGGBBM_02638	gene	741	ompR_2			
KHAGGBBM_02638	CDS	741	ompR_2			Transcriptional regulatory protein OmpR
KHAGGBBM_02639	gene	993	dhmA			
KHAGGBBM_02639	CDS	993	dhmA	3.8.1.5		Haloalkane dehalogenase
KHAGGBBM_02640	gene	1020				
KHAGGBBM_02640	CDS	1020				hypothetical protein
KHAGGBBM_02641	gene	927	pqqB			
KHAGGBBM_02641	CDS	927	pqqB		COG1235	Coenzyme PQQ synthesis protein B
KHAGGBBM_02642	gene	756	pqqC			
KHAGGBBM_02642	CDS	756	pqqC	1.3.3.11	COG5424	Pyrroloquinoline-quinone synthase
KHAGGBBM_02643	gene	279	pqqD			
KHAGGBBM_02643	CDS	279	pqqD			PqqA binding protein
KHAGGBBM_02644	gene	1143	pqqE			
KHAGGBBM_02644	CDS	1143	pqqE	1.21.98.4	COG0535	PqqA peptide cyclase
KHAGGBBM_02645	gene	2286				
KHAGGBBM_02645	CDS	2286				hypothetical protein
KHAGGBBM_02646	gene	738	ipuF			
KHAGGBBM_02646	CDS	738	ipuF	3.4.-.-		Gamma-glutamyl-L-1-hydroxyisopropylamide hydrolase
KHAGGBBM_02647	gene	1911	mrdA_2			
KHAGGBBM_02647	CDS	1911	mrdA_2	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
KHAGGBBM_02648	gene	633	leuE_2			
KHAGGBBM_02648	CDS	633	leuE_2		COG1280	Leucine efflux protein
KHAGGBBM_02649	gene	2178	katG			
KHAGGBBM_02649	CDS	2178	katG	1.11.1.21	COG0376	Catalase-peroxidase
KHAGGBBM_02650	gene	1062	zapE_1			
KHAGGBBM_02650	CDS	1062	zapE_1		COG1485	Cell division protein ZapE
KHAGGBBM_02651	gene	681	mgtC			
KHAGGBBM_02651	CDS	681	mgtC		COG1285	Protein MgtC
KHAGGBBM_02652	gene	1407	ydjE			
KHAGGBBM_02652	CDS	1407	ydjE			Inner membrane metabolite transport protein YdjE
KHAGGBBM_02653	gene	315	chbA_4			
KHAGGBBM_02653	CDS	315	chbA_4		COG1447	PTS system N,N'-diacetylchitobiose-specific EIIA component
KHAGGBBM_02654	gene	324	celA_4			
KHAGGBBM_02654	CDS	324	celA_4	2.7.1.205		PTS system cellobiose-specific EIIB component
KHAGGBBM_02655	gene	966				
KHAGGBBM_02655	CDS	966				hypothetical protein
KHAGGBBM_02656	gene	1284				
KHAGGBBM_02656	CDS	1284				hypothetical protein
KHAGGBBM_02657	gene	945	rhaS_7			
KHAGGBBM_02657	CDS	945	rhaS_7			HTH-type transcriptional activator RhaS
KHAGGBBM_02658	gene	2613				
KHAGGBBM_02658	CDS	2613		3.2.1.40		Alpha-L-rhamnosidase
KHAGGBBM_02659	gene	1281	licC_4			
KHAGGBBM_02659	CDS	1281	licC_4		COG1455	Lichenan permease IIC component
KHAGGBBM_02660	gene	882	oxyR_4			
KHAGGBBM_02660	CDS	882	oxyR_4			Hydrogen peroxide-inducible genes activator
KHAGGBBM_02661	gene	2301	ydeP			
KHAGGBBM_02661	CDS	2301	ydeP		COG0243	Protein YdeP
KHAGGBBM_02662	gene	918				
KHAGGBBM_02662	CDS	918				hypothetical protein
KHAGGBBM_02663	gene	924	mamB			
KHAGGBBM_02663	CDS	924	mamB			Magnetosome protein MamB
KHAGGBBM_02664	gene	687	fliY_3			
KHAGGBBM_02664	CDS	687	fliY_3		COG0834	L-cystine-binding protein FliY
KHAGGBBM_02665	gene	870				
KHAGGBBM_02665	CDS	870				hypothetical protein
KHAGGBBM_02666	gene	432	osmC			
KHAGGBBM_02666	CDS	432	osmC	1.11.1.15	COG1764	Peroxiredoxin OsmC
KHAGGBBM_02667	gene	147				
KHAGGBBM_02667	CDS	147				hypothetical protein
KHAGGBBM_02668	gene	405	ygiW_1			
KHAGGBBM_02668	CDS	405	ygiW_1		COG3111	Protein YgiW
KHAGGBBM_02669	gene	504				
KHAGGBBM_02669	CDS	504				hypothetical protein
KHAGGBBM_02670	gene	447				
KHAGGBBM_02670	CDS	447				hypothetical protein
KHAGGBBM_02671	gene	96				
KHAGGBBM_02671	CDS	96				hypothetical protein
KHAGGBBM_02672	gene	996	hcaB			
KHAGGBBM_02672	CDS	996	hcaB	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
KHAGGBBM_02673	gene	1626	treS			
KHAGGBBM_02673	CDS	1626	treS	3.2.1.1	COG0366	Trehalose synthase/amylase TreS
KHAGGBBM_02674	gene	183				
KHAGGBBM_02674	CDS	183				hypothetical protein
KHAGGBBM_02675	gene	507	yciE_2			
KHAGGBBM_02675	CDS	507	yciE_2		COG3685	Protein YciE
KHAGGBBM_02676	gene	216				
KHAGGBBM_02676	CDS	216				hypothetical protein
KHAGGBBM_02677	gene	915	yghA_1			
KHAGGBBM_02677	CDS	915	yghA_1	1.-.-.-		putative oxidoreductase YghA
KHAGGBBM_02678	gene	246				
KHAGGBBM_02678	CDS	246				hypothetical protein
KHAGGBBM_02679	gene	894	dmlR_12			
KHAGGBBM_02679	CDS	894	dmlR_12			HTH-type transcriptional regulator DmlR
KHAGGBBM_02680	gene	852				
KHAGGBBM_02680	CDS	852				hypothetical protein
KHAGGBBM_02681	gene	141	sra			
KHAGGBBM_02681	CDS	141	sra			Stationary-phase-induced ribosome-associated protein
KHAGGBBM_02682	gene	1698	maeA			
KHAGGBBM_02682	CDS	1698	maeA	1.1.1.38	COG0281	NAD-dependent malic enzyme
KHAGGBBM_02683	gene	708				
KHAGGBBM_02683	CDS	708				hypothetical protein
KHAGGBBM_02684	gene	1716	yheS_1			
KHAGGBBM_02684	CDS	1716	yheS_1		COG0488	putative ABC transporter ATP-binding protein YheS
KHAGGBBM_02685	gene	954				
KHAGGBBM_02685	CDS	954				hypothetical protein
KHAGGBBM_02686	gene	600	ppa_2			
KHAGGBBM_02686	CDS	600	ppa_2	3.6.1.1	COG0221	Inorganic pyrophosphatase
KHAGGBBM_02687	gene	1011	adhP			
KHAGGBBM_02687	CDS	1011	adhP	1.1.1.1	COG1064	Alcohol dehydrogenase, propanol-preferring
KHAGGBBM_02688	gene	1623				
KHAGGBBM_02688	CDS	1623				hypothetical protein
KHAGGBBM_02689	gene	945	gsiC_3			
KHAGGBBM_02689	CDS	945	gsiC_3		COG0601	Glutathione transport system permease protein GsiC
KHAGGBBM_02690	gene	849	ddpC_2			
KHAGGBBM_02690	CDS	849	ddpC_2		COG1173	putative D,D-dipeptide transport system permease protein DdpC
KHAGGBBM_02691	gene	1617	gsiA_2			
KHAGGBBM_02691	CDS	1617	gsiA_2	7.4.2.10	COG1123	Glutathione import ATP-binding protein GsiA
KHAGGBBM_02692	gene	987	luxA			
KHAGGBBM_02692	CDS	987	luxA	1.14.14.3	COG2141	Alkanal monooxygenase alpha chain
KHAGGBBM_02693	gene	1092				
KHAGGBBM_02693	CDS	1092				hypothetical protein
